ID,Name,Dex,Set,Era,Rarity,Artist,Image URL (High Res),TCGPlayer Market Link
sv2-209,Arctibax,997.0,Paldea Evolved,Scarlet & Violet,Illustration Rare,Tomokazu Komiya,https://images.pokemontcg.io/sv2/209_hires.png,https://prices.pokemontcg.io/tcgplayer/sv2-209
sv2-210,Baxcalibur,998.0,Paldea Evolved,Scarlet & Violet,Illustration Rare,Tomokazu Komiya,https://images.pokemontcg.io/sv2/210_hires.png,https://prices.pokemontcg.io/tcgplayer/sv2-210
sv4-198,Gimmighoul,999.0,Paradox Rift,Scarlet & Violet,Illustration Rare,Akira Komayama,https://images.pokemontcg.io/sv4/198_hires.png,https://prices.pokemontcg.io/tcgplayer/sv4-198
sv4-252,Gholdengo ex,1000.0,Paradox Rift,Scarlet & Violet,Special Illustration Rare,Akira Komayama,https://images.pokemontcg.io/sv4/252_hires.png,https://prices.pokemontcg.io/tcgplayer/sv4-252
sv8pt5-164,Gholdengo ex,1000.0,Prismatic Evolutions,Scarlet & Violet,Special Illustration Rare,Unknown,https://images.pokemontcg.io/sv8pt5/164_hires.png,https://prices.pokemontcg.io/tcgplayer/sv8pt5-164
sv2-257,Wo-Chien ex,1001.0,Paldea Evolved,Scarlet & Violet,Special Illustration Rare,takuyoa,https://images.pokemontcg.io/sv2/257_hires.png,https://prices.pokemontcg.io/tcgplayer/sv2-257
sv2-261,Chien-Pao ex,1002.0,Paldea Evolved,Scarlet & Violet,Special Illustration Rare,kodama,https://images.pokemontcg.io/sv2/261_hires.png,https://prices.pokemontcg.io/tcgplayer/sv2-261
sv2-263,Ting-Lu ex,1003.0,Paldea Evolved,Scarlet & Violet,Special Illustration Rare,KEIICHIRO ITO,https://images.pokemontcg.io/sv2/263_hires.png,https://prices.pokemontcg.io/tcgplayer/sv2-263
sv2-259,Chi-Yu ex,1004.0,Paldea Evolved,Scarlet & Violet,Special Illustration Rare,AKIRA EGAWA,https://images.pokemontcg.io/sv2/259_hires.png,https://prices.pokemontcg.io/tcgplayer/sv2-259
sv4-251,Roaring Moon ex,1005.0,Paradox Rift,Scarlet & Violet,Special Illustration Rare,Ryota Murayama,https://images.pokemontcg.io/sv4/251_hires.png,https://prices.pokemontcg.io/tcgplayer/sv4-251
sv4-249,Iron Valiant ex,1006.0,Paradox Rift,Scarlet & Violet,Special Illustration Rare,kantaro,https://images.pokemontcg.io/sv4/249_hires.png,https://prices.pokemontcg.io/tcgplayer/sv4-249
sv1-247,Koraidon ex,1007.0,Scarlet & Violet,Scarlet & Violet,Special Illustration Rare,Ryota Murayama,https://images.pokemontcg.io/sv1/247_hires.png,https://prices.pokemontcg.io/tcgplayer/sv1-247
sv1-244,Miraidon ex,1008.0,Scarlet & Violet,Scarlet & Violet,Special Illustration Rare,kantaro,https://images.pokemontcg.io/sv1/244_hires.png,https://prices.pokemontcg.io/tcgplayer/sv1-244
sv5-205,Walking Wake ex,1009.0,Temporal Forces,Scarlet & Violet,Special Illustration Rare,Teeziro,https://images.pokemontcg.io/sv5/205_hires.png,https://prices.pokemontcg.io/tcgplayer/sv5-205
sv5-203,Iron Leaves ex,1010.0,Temporal Forces,Scarlet & Violet,Special Illustration Rare,nagimiso,https://images.pokemontcg.io/sv5/203_hires.png,https://prices.pokemontcg.io/tcgplayer/sv5-203
me2pt5-288,Fezandipiti ex,1016.0,Ascended Heroes,Mega Evolution,Special Illustration Rare,SIE NANAHARA,https://images.scrydex.com/pokemon/me2pt5-288/large,N/A
sv8pt5-160,Cornerstone Mask Ogerpon ex,1017.0,Prismatic Evolutions,Scarlet & Violet,Special Illustration Rare,Unknown,https://images.pokemontcg.io/sv8pt5/160_hires.png,https://prices.pokemontcg.io/tcgplayer/sv8pt5-160
sv8pt5-148,Hearthflame Mask Ogerpon ex,1017.0,Prismatic Evolutions,Scarlet & Violet,Special Illustration Rare,Unknown,https://images.pokemontcg.io/sv8pt5/148_hires.png,https://prices.pokemontcg.io/tcgplayer/sv8pt5-148
sv8pt5-145,Teal Mask Ogerpon ex,1017.0,Prismatic Evolutions,Scarlet & Violet,Special Illustration Rare,Unknown,https://images.pokemontcg.io/sv8pt5/145_hires.png,https://prices.pokemontcg.io/tcgplayer/sv8pt5-145
sv8pt5-152,Wellspring Mask Ogerpon ex,1017.0,Prismatic Evolutions,Scarlet & Violet,Special Illustration Rare,Unknown,https://images.pokemontcg.io/sv8pt5/152_hires.png,https://prices.pokemontcg.io/tcgplayer/sv8pt5-152
